tconst	averageRating	numVotes
tt0000001	0	0
tt0000002	0	0
tt0000003	0	0
tt0000004	0	0
tt0000005	0	0
tt0000006	0	0
tt0000007	0	0
tt0000008	0	0
tt0000009	0	0
tt0000010	0	0
tt0000011	0	0
tt0000012	0	0
tt0000013	0	0
tt0000014	0	0
tt0000015	0	0
tt0000016	0	0
tt0000017	0	0
tt0000018	0	0
tt0000019	0	0
tt0000020	0	0
tt0000022	0	0
tt0000023	0	0
tt0000024	0	0
tt0000025	0	0
tt0000026	0	0
tt0000027	0	0
tt0000028	0	0
tt0000029	0	0
tt0000030	0	0
tt0060196	0	0
tt0068646	0	0
tt0080684	0	0
tt0110912	0	0
tt0111161	0	0
tt0133093	0	0
tt0167260	0	0
tt0167261	0	0
tt0468569	0	0
tt1170358	0	0
tt1375666	0	0
tt3498820	0	0
tt4154796	0	0
